V1,V2,V3,V4,V5,
61,4.190442114,-5.174512541,9.16384128,-8.987870704,1
62,3.060028208,-3.619562619,7.059475172,-8.5174909,1
63,2.341360907,-4.062403298,8.319019095,-8.067392917,1
64,3.360681969,-2.520684558,8.695699988,-9.22075392,1
65,4.089318333,-3.610879588,7.753863535,-8.441753071,1
66,1.683099386,-4.145925454,7.766016251,-10.04454733,1
67,0.895471269,-3.964051015,8.163202876,-9.717923157,1
68,2.730464699,-3.71292631,10.11896622,-9.21731098,1
69,3.909008369,-4.169136127,8.690687357,-9.338162509,1
70,3.503815853,NA,10.53221863,-10.46904375,1
71,3.43307267,-3.915025432,9.598072307,-9.376506596,1
72,1.945453525,-4.283662841,9.548939114,-9.387689529,1
73,2.604830029,-4.246573776,8.779840282,-9.833793459,1
74,3.598121653,-4.785411707,9.812286921,-10.82986636,1
75,2.278841445,-3.771804017,8.071777196,-9.826471752,1
76,4.11697267,-5.92227658,8.797103116,-9.465669312,1
77,4.161354547,-3.537609927,7.700118468,-9.410156211,1
78,2.637864596,-3.85736828,8.483852518,-8.06352463,1
79,3.682893454,-4.628641494,9.803671644,-9.144208402,1
80,2.785723751,-3.659354197,9.453710437,-9.478620416,1
81,3.793771924,-4.467916633,9.946553857,-9.264188241,1
82,3.079686895,-5.85914653,7.397686709,-8.781759114,1
83,2.123479126,-3.698072438,9.794776189,-8.764715163,1
84,2.801026673,-4.381899816,8.48179017,-10.74772636,1
85,1.324763197,-4.13256306,9.870885618,-10.61080067,1
86,2.779834631,-3.632593779,9.733334983,-10.10013463,1
87,3.504338346,-5.018872614,9.839738545,-9.280303724,1
88,2.086565186,-3.452375436,8.323529691,-9.222391818,1
89,2.487799649,-4.872231212,10.18227726,-9.445960031,1
90,4.31179281,-4.222122302,9.448816457,-8.53151645,1
91,2.616733531,-6.233897701,9.335323285,-8.020880986,1
92,2.180735667,-2.622411606,8.404184963,-8.416666125,1
93,3.318505864,-4.778797736,11.28638885,-8.540656256,1
94,2.894547792,-4.088109491,8.335604355,-8.496578248,1
95,4.342333259,-1.476101231,9.100117458,-10.69293464,1
96,0.670601291,-3.059307142,9.258596268,-8.18372258,1
97,2.751808049,-4.603651781,8.864948624,-6.374055493,1
98,0.86305604,-5.433865157,7.359608981,-9.945472871,1
99,4.600040283,-5.095507178,8.960944023,-8.347405593,1
100,2.106898626,-3.673282408,?,-10.55103903,1
101,?,-2.746141946,9.093913921,-5.315354975,1
102,3.326490963,-6.774908028,9.702177633,-9.461350818,1
103,2.33460081,-3.738695964,10.36410186,-11.20937934,1
104,4.167999798,NA,8.183001977,-9.487887682,1
105,2.836025413,-3.413887651,8.467948059,-8.823351318,1
106,3.672512903,-3.648048384,10.37116448,-8.959097242,1
107,4.265924166,-3.897882431,8.79822484,-9.610168657,1
108,3.288826248,-2.518422439,8.479622918,-8.470362895,1
109,2.860199674,-3.332852215,11.25037736,-8.391734818,1
110,3.748196493,-2.918405486,7.787542705,-8.632426627,1
111,2.180503977,-4.751279208,9.826725177,-10.62108289,1
112,2.627656507,-3.947073145,10.48256031,-9.405717532,1
113,2.626322662,-4.78047731,8.231599308,-10.72960749,1
114,3.084052877,-2.086542936,8.708099606,-9.973454342,1
115,2.01116791,-3.18039556,10.8247486,-8.759652129,1
116,2.546543583,-4.856013227,10.72034978,-9.304885244,1
117,2.560239355,-3.404322591,10.63276217,-10.47891273,1
118,2.670577238,-4.328569895,9.512118685,-8.890175037,1
119,2.964978185,-2.682901966,9.194828992,-10.52249851,1
120,4.570945951,-4.286121645,9.611469745,-8.494968549,1
121,3.1293424,-4.128673459,11.15604324,-9.309167922,1
122,2.625175816,-4.05416405,8.987348672,-9.445063513,1
123,2.224620949,-4.603397477,7.807876091,-7.620866301,1
124,2.776856645,-2.423251834,11.017064,-10.7426565,1
125,4.850663973,-5.699124275,8.634519289,-7.861820114,1
126,2.923029194,-2.864735961,8.383935824,-10.13469182,1
127,5.055288026,-4.483199739,9.612598906,-10.12595962,1
128,2.984522351,-4.290636532,8.262898548,-8.836180787,1
129,3.206807637,-4.162044558,9.257246716,-7.936478114,1
130,3.02850475,-3.929938093,9.428378123,-7.481857912,1
131,2.242052433,-2.943325374,8.124796543,-8.796441871,1
132,3.853858826,-3.229869179,9.008629325,-7.048049174,1
133,3.636725626,-4.389680477,7.899911312,-8.951167117,1
134,1.723748232,-3.331990046,9.895003374,-10.0010825,1
135,3.788083966,-3.943156512,11.35811832,-8.964936935,1
136,2.684896445,-4.474995141,9.326492691,-9.640210405,1
137,1.824955042,-3.24359903,7.884357129,-9.006334489,1
138,4.362479641,-5.329010165,9.595860072,-9.61037346,1
139,2.789261873,-3.015934444,8.994659813,-7.730167098,1
140,3.753104067,-2.741872524,10.10327831,-9.69943347,1
141,2.183237492,-4.443869111,9.484256371,-8.731745685,1
142,1.017695619,-3.255402775,9.981228222,-7.537395254,1
143,1.63615786,-3.322612238,10.57328498,-10.03651394,1
144,2.637393898,-4.163869732,7.772270056,-8.273301507,1
145,3.126059755,-5.196595541,6.94763681,-7.734113511,1
146,2.584964485,-5.456009223,9.651369883,-9.057031091,1
147,2.849737945,-3.112839472,9.219475968,-10.15963602,1
148,3.753254175,-5.448500806,9.36767642,-9.494269042,1
149,1.846522614,-3.712812621,9.306258224,-7.752182719,1
150,5.077922791,-4.518867128,7.581218586,-9.887010916,1
151,4.266035244,-4.786132798,10.07592226,-7.430172413,1
152,1.695520211,-2.882721171,8.806278138,-9.072255609,1
153,1.152097594,-4.934617218,8.00161827,-9.839805656,1
154,2.281969326,-2.709291108,10.59836652,-8.155667329,1
155,2.955828118,-5.17755455,6.743381299,-9.781179268,1
156,3.875419723,-3.563323303,9.994988799,-6.953086181,1
157,3.47551216,-3.512230161,7.343740082,-8.600655618,1
158,2.5434497,-2.386973784,10.00897668,-7.957661137,1
159,3.13642237,-3.914901873,7.216059416,-8.772444863,1
160,4.548391294,-6.232478749,7.272749825,-8.811351114,1
161,3.263190827,-4.376435551,9.650616648,-9.12555063,1
162,1.874441388,-3.059472698,10.17102144,-9.41958941,1
163,2.17299203,-5.338499155,10.96765565,-10.84447092,1
164,3.219208352,-3.207063389,9.950135137,-8.53838042,1
165,2.396025571,-5.132697963,8.780910093,-8.427386111,1
166,3.371631034,-4.047616565,8.171738476,-8.650380802,1
167,4.252547769,-4.035823075,7.474839047,-9.140155415,1
168,2.087896593,-4.874487085,9.814151763,-10.19337244,1
169,2.665140678,-6.161654504,9.305238578,-9.942890375,1
170,0.359280625,-2.597025412,7.673541341,-9.831775601,1
171,1.826232453,-4.056903578,7.581614314,-8.901092109,1
172,3.172426848,-4.144744103,8.953155141,-9.46144408,1
173,1.995796581,-5.983705237,8.567320555,-8.99266842,1
174,2.097134256,-4.06169426,11.12324928,-8.555876839,1
175,3.950942446,-2.28046622,8.894726448,-8.463827405,1
176,3.00824151,-3.247578278,11.56212058,-9.611454712,1
177,2.381965485,-2.938632644,8.83057604,-9.87403544,1
178,2.78146894,-3.888741119,8.46107247,-8.694243231,1
179,3.222555322,-3.591793737,9.647605583,-8.255380394,1
180,2.229696871,-2.687202137,8.527186174,-8.07250071,1
181,1.887375292,-4.626732434,9.643405269,-8.900130868,1
182,3.265580054,-4.494406319,7.406936217,-9.688270717,1
183,3.209656349,-4.443681924,8.907346285,-8.758643054,1
184,2.252987731,-1.999306386,9.012201294,-9.8200085,1
185,2.511265149,-3.514989318,9.627926154,-9.016577811,1
186,1.356390866,-3.39055662,8.742741907,-11.27655102,1
187,4.338604829,-4.446822433,9.220317524,-8.322163148,1
188,2.270521376,-3.489318358,7.113109684,-9.364418582,1
189,4.546729471,-3.322713663,8.690731423,-10.86096094,1
190,3.240202898,-4.577433643,9.129014329,-8.417364612,1
191,2.844733139,-4.5363848,7.281221084,-8.796987408,1
192,3.553957953,-4.766837504,9.580622815,-8.058571478,1
193,4.728502766,-3.519283779,10.82839679,-11.26490568,1
194,3.173173769,-5.328611,8.711683015,-9.794662672,1
195,2.626680552,-3.645056891,7.626041525,-8.736119383,1
196,1.774482726,-2.855164348,8.731291175,-10.67171875,1
197,2.930497383,-4.747457258,9.929589357,-9.561944696,1
198,3.664492099,-2.877034441,9.567098893,-8.579590236,1
199,4.973530764,-3.277959633,7.268627621,-7.951841315,1
200,4.478964636,-3.738475919,9.509540827,-8.660819553,1
201,3.857243853,NA,9.826681115,-9.402905012,1
202,?,-5.121513496,9.190144675,-8.207047133,1
203,3.592751969,-5.138655554,9.057003475,-8.141317124,1
204,3.623648698,-5.419905655,9.573874975,-9.672934176,1
205,4.194753227,-4.755500986,9.25066016,-8.885485761,1
206,2.624589737,-2.852257393,7.971461453,-9.346281548,1
207,3.262187908,-2.620854026,7.794724993,-8.55899092,1
208,1.64302025,-3.516260239,8.896665051,-9.649959491,1
209,1.903432266,-4.842102507,9.290246764,-8.371133804,1
210,3.552514932,-3.431844854,8.835514411,-7.347482308,1
211,3.055497724,-4.599483029,7.543082081,-9.178410562,1
212,3.851986474,-3.658363812,9.996118309,-8.642890706,1
213,5.024946537,-3.847507765,8.377539093,-8.385614055,1
214,1.990952093,-4.25245235,10.97240539,-10.64070651,1
215,1.834291143,-3.663894134,8.65615222,-8.72797173,1
216,2.39630124,-3.054335126,9.393492382,-9.142574194,1
217,2.596276206,-3.810328412,10.01616978,-9.47451171,1
218,2.510896538,-3.841974494,9.865826466,-8.329527636,1
219,2.950276002,-3.786720334,8.751501297,-7.803327797,1
220,3.548944742,-2.482605701,7.655142582,-9.474933635,1
221,0.556387264,-3.135765267,8.087087257,-10.24059364,1
222,4.793437531,-3.984201007,6.389432335,-9.614379233,1
223,3.734467554,-4.625855205,8.362474034,-9.0359314,1
224,3.856814355,-4.016098559,10.1743307,-9.502530907,1
225,3.328099438,-5.580808235,9.756182756,-9.191238056,1
226,4.591115762,-4.692674672,10.49973752,-6.932819374,1
227,4.094390547,-3.470378568,8.371392547,-8.088236749,1
228,4.180007563,-6.256439304,9.182550076,-9.065824585,1
229,3.676249555,-5.218026366,9.658872535,-9.392889241,1
230,3.285781683,-5.246666551,9.531921395,-10.3905242,1
231,2.377359541,-3.76025162,8.500668599,-9.953943974,1
232,1.905510022,-4.950550987,8.036728596,-8.877316429,1
233,4.402224952,-4.254326095,9.823697426,-7.033287352,1
234,3.168468645,-3.381559793,8.977908123,-8.896599844,1
235,4.490988675,-4.416050049,7.775200815,-9.076404307,1
236,4.41869883,-2.383757454,7.890421312,-11.43913243,1
237,2.375953135,-5.195616698,7.958437294,-10.16694596,1
238,1.932190953,-4.702645059,7.381123261,-8.004251836,1
239,3.377828655,-3.343662125,7.22484073,-9.626770574,1
240,2.855124186,-3.962485244,8.783303284,-8.711894031,1
241,2.468114255,-4.385138817,8.193711595,-9.014739317,1
242,2.789758753,-4.289996295,8.516214073,-10.27277873,1
243,4.848334587,-3.955986583,8.316842633,-10.23063827,1
244,3.542653359,-3.05176657,9.662042593,-7.405002744,1
245,5.054430154,-5.300571545,10.11489835,-8.012907052,1
246,4.635737086,-4.776319137,7.378378502,-8.754265617,1
247,0.542058409,-1.84035901,9.324249047,-8.574647516,1
248,3.370669265,-5.17976819,10.09496027,-9.980217849,1
249,2.496954727,-4.419130637,9.656867907,-7.270088585,1
250,4.197779097,-2.798009238,8.592874875,-9.349620486,1
251,3.594985878,-3.754681438,10.15439342,-9.707278683,1
252,2.306144778,-4.808314282,9.581806365,-7.208391315,1
253,2.674803193,-2.844387677,9.800982154,-8.108759621,1
254,3.977642686,-3.50129284,8.984242956,-8.976715392,1
255,3.186059784,-2.185854254,9.130744347,-8.243001267,1
256,3.524047582,-3.685343653,9.440713463,-10.262272,1
257,1.422241877,-4.126944562,9.444559956,-9.050428721,1
258,3.775273363,-3.347463227,10.48354157,-10.63737245,1
259,3.578527263,-4.329960183,8.979115584,-7.995532218,1
260,1.713527401,-3.2082633,7.464925816,-8.204587867,1
261,3.407425143,-3.158731323,8.782050693,-6.98540501,1
262,3.568597885,-4.733780653,10.36300585,-10.73889995,1
263,3.856185572,-1.51248679,8.402554731,-7.399460895,1
264,1.767773457,-2.808459201,8.133374719,-8.372747635,1
265,4.258993387,-3.025619361,9.806930212,-8.13716734,1
266,2.949471137,-4.353906397,10.67353563,-6.68451615,1
267,2.723726277,-3.119131124,8.403322021,-10.45130741,1
268,1.513796673,-3.561664503,8.220556623,-9.385568668,1
269,3.252557173,-5.050829764,7.540954368,-7.861615071,1
270,1.817161077,-5.95297536,10.44324263,-7.79702249,1
271,2.002806108,-4.856923451,10.30910014,-8.792888298,1
272,2.741814506,-3.075924437,9.219737403,-9.23208386,1
273,-0.064870325,-5.633664011,8.343508586,-8.157969085,1
274,3.518646033,-3.32653691,9.43856798,-9.475829897,1
275,1.154141658,-5.122115731,8.985091276,-9.877215862,1
276,3.005198224,-4.257322367,8.510745527,-9.796449224,1
277,3.380285902,-1.679761188,9.092118386,-9.082586368,1
278,2.339558166,-2.422046763,10.33425411,-10.72269961,1
279,4.031670569,-4.174804846,10.00921349,-9.330983047,1
280,4.374042497,-3.327586936,9.037164703,-8.610849869,1
281,2.506104603,-4.832581582,9.309452151,-9.798645704,1
282,1.857848015,-3.697970565,8.298828521,-9.703505936,1
283,2.603771446,-3.341072991,8.779150347,-10.37711535,1
284,2.456910637,-4.12470574,10.45962416,-7.850029011,1
285,3.684120472,-4.212312596,8.743929052,-7.898462474,1
286,2.590236922,-4.83771698,8.095746586,-9.638858741,1
287,3.514308482,-3.675576378,11.36649063,-9.27239405,1
288,3.011967786,-3.46197874,10.2045086,-7.774870632,1
289,1.115315646,-3.116192098,8.80843285,-9.826366418,1
290,2.771600016,-3.772297896,9.854943842,-9.035407237,1
291,3.473108949,-2.577614907,7.673393399,-8.823597018,1
292,2.766159079,-4.898810363,8.927844812,-9.687458642,1
293,3.368714779,-5.488094614,9.954556524,-8.045003554,1
294,3.564767235,-3.682147012,9.793484863,-7.719073688,1
295,4.257741751,-2.849142078,8.220934541,-10.84602879,1
296,4.61159518,-4.076446489,7.983674207,-9.424902689,1
297,3.883145102,-4.673527869,9.126399794,-8.859723248,1
298,2.545640986,-4.002926727,8.966253501,-9.1564042,1
299,4.093018903,-3.939682906,9.053697943,-9.61632956,1
300,2.934168631,-5.00901228,?,-8.684930374,1
301,2.261269607,NA,8.444383317,-9.106679174,1
302,2.894597498,-3.315117826,8.558681428,-9.430103664,1
303,3.738782967,-4.273922832,9.804921312,-9.267447916,1
304,2.175798504,-3.41953154,9.814090068,-8.797371335,1
305,2.741517699,-4.498341431,9.460392666,-8.181186415,1
306,3.660791024,-3.969182075,10.01733001,-9.977846882,1
307,3.164863414,-4.389076411,10.70687196,-8.916501499,1
308,2.559517291,-4.728222809,10.41693948,-9.116168703,1
309,3.522840407,-2.492573808,8.579163581,-8.759232288,1
310,3.039964745,-5.819195863,10.1692479,-6.741938393,1
311,1.03895749,-3.985049514,8.403471754,-8.744594835,1
312,3.619546532,-3.898641567,10.34483584,-8.941169883,1
313,2.685215414,-4.470276776,8.464692704,-7.791542699,1
314,3.193179507,-3.438003666,8.71680682,-8.93441031,1
315,3.849310783,-4.715848261,9.673437543,-10.13321776,1
316,2.62701655,-4.920209389,8.257161165,-10.60375692,1
317,3.581960825,-4.54589188,9.308666457,-9.116393009,1
318,2.496749278,-5.611137183,10.90743112,-10.16816699,1
319,1.746099862,-4.003209686,9.615958772,-8.882075813,1
320,3.800671097,-4.028556818,8.438432175,-8.286111443,1
321,2.54187457,-3.506430712,9.717059074,-9.72126376,1
322,2.125856729,-4.864898063,8.416114999,-7.950402476,1
323,3.366520668,-4.603026763,9.26330226,-7.204429869,1
324,3.131244059,-2.782163485,9.555004729,-8.143768499,1
325,2.237716961,-4.495395229,7.977117353,-7.08899678,1
326,4.672943828,-4.193824197,8.47859602,-8.389278532,1
327,3.31296905,-2.62650217,7.623588898,-10.12097339,1
328,5.008772029,-4.925071024,10.35468752,-8.841942527,1
329,3.611103234,-3.418217093,8.239058871,-6.948611084,1
330,3.012723428,-2.970523698,6.976752025,-8.483087867,1
331,2.615320295,-4.627020989,9.990131367,-8.799478882,1
332,2.1798679,-3.259315616,10.42931134,-7.574218576,1
333,3.027222048,-3.27704841,11.00543276,-9.713254306,1
334,4.466302,-2.628668013,8.517624399,-9.26266089,1
335,2.597354649,-5.000549028,8.459501366,-7.632742306,1
336,4.583865675,-5.262609872,8.584730268,-8.004646497,1
337,4.600931152,-2.860981298,8.335882149,-8.739625113,1
338,3.664329468,-5.435316956,9.044256738,-9.188857481,1
339,4.496598143,-2.932876845,7.809568888,-9.21265385,1
340,2.711209806,-3.330703047,9.798978983,-6.977782845,1
341,3.711707213,-6.702625526,8.518979398,-8.986843044,1
342,3.170504651,-3.786245735,8.374942552,-10.06514776,1
343,3.882362511,-3.929004387,9.799874571,-8.177509937,1
344,3.296343543,-3.277784908,8.196272053,-7.923793099,1
345,2.783616532,-2.630946953,6.644906489,-9.688198892,1
346,1.513159001,-4.282201909,7.958430621,-9.907218806,1
347,1.121894937,-3.670740078,7.323292021,-9.134648464,1
348,2.353078116,-4.899402037,10.52658113,-9.100000989,1
349,4.013063552,-4.950438578,7.868372485,-6.750536199,1
350,2.159780098,-4.600215139,9.468620962,-8.786477663,1
351,3.046795914,-3.484338287,8.760638894,-8.165406468,1
352,3.636420539,-2.865661485,8.933129614,-8.946254095,1
353,4.293960989,-0.764902125,8.83837044,-8.62851373,1
354,3.704096683,-4.519651845,7.450229034,-9.250433436,1
355,2.368252107,-4.013762563,7.648105794,-9.0713913,1
356,3.389338444,-4.159427073,10.06110246,-10.62872051,1
357,0.471139616,-3.10945877,10.51807075,-8.969110547,1
358,1.980374101,-5.167477626,8.85008448,-8.155900584,1
359,3.449622109,-3.356633854,8.653926361,-8.87247774,1
360,4.254397008,-2.811689085,9.335496754,-10.0835154,1
361,3.589878737,-3.406891712,10.08397589,-10.07656427,1
362,4.129542828,-3.157893657,10.00028468,-9.564600591,1
363,2.543688153,-4.792597175,9.159944745,-9.029168991,1
364,3.574785521,-3.35477846,7.406168444,-8.901921012,1
365,2.821163537,-2.88647622,10.7580499,-8.690328701,1
366,3.993174379,-2.95331531,10.70762405,-7.730589409,1
367,2.835730106,-4.93515929,8.866848066,-9.213693221,1
368,3.795241292,-2.833201986,7.555163035,-9.133169193,1
369,5.009031966,-3.006379272,9.356380343,-9.537288738,1
370,2.168702873,-5.24608904,10.29524388,-9.665831363,1
371,2.902107977,-4.04005232,6.750019125,-7.294080005,1
372,1.423129878,-4.040329713,9.54542114,-7.747083259,1
373,2.158620853,-4.667794145,8.781697318,-9.366601132,1
374,2.702355334,-2.828039321,7.911198202,-8.609696782,1
375,4.420322668,-4.385270623,9.183610491,-12.27262949,1
376,2.833444758,-3.97317426,7.184835418,-8.456907985,1
377,2.321370344,-4.300055381,7.953321174,-8.932387923,1
378,3.310941252,-3.154714163,7.979944665,-9.415920639,1
379,1.955146715,-4.821781678,9.8482741,-7.99832494,1
380,1.705095655,-3.85862236,8.210840279,-9.52251256,1
381,4.335627648,-4.798631571,8.564506045,-8.932872446,1
382,1.807570875,-5.386623045,6.874910391,-9.46501973,1
383,2.640809481,-4.456637286,9.564724692,-7.24979993,1
384,1.895347909,-5.435573298,7.914168714,-11.17725744,1
385,2.894497643,-3.426698754,10.52446783,-9.237858044,1
386,3.843163372,-4.858821812,9.776525601,-8.727068513,1
387,4.08224372,-3.136115646,7.978421095,-8.206214836,1
388,2.97784614,-4.513903317,8.452961758,-8.703590685,1
389,2.485597133,-3.84758161,8.380580411,-11.03574989,1
390,2.212530964,-4.557872339,8.177284913,-10.73129525,1
391,2.335714415,-4.643257275,7.41315509,-8.873193171,1
392,3.561518316,-3.562722385,8.061639391,-7.484099855,1
393,1.008723096,-3.892010621,7.226989817,-7.733489632,1
394,2.685934027,-5.245506044,8.321221333,-8.172458115,1
395,3.010670191,-4.849414975,10.30171006,-8.486722713,1
396,1.65765708,-4.267678851,8.753569233,-8.695611307,1
397,3.026096336,-5.425113394,9.962765603,-8.034024694,1
398,3.373878926,-2.594572024,9.613358962,-7.339182966,1
399,1.983353505,-4.213283757,8.323919923,-10.86231817,1
400,3.198584436,-5.249073179,?,-7.521823924,1
401,2.496120483,NA,9.317033259,-9.761054542,1
402,2.117125173,-2.454851918,9.682764477,-9.494123638,1
403,1.750570359,-2.108472992,7.699994492,-9.080253288,1
404,3.920071454,-5.443173576,8.024892557,-9.698779104,1
405,2.840276163,-2.148886293,10.1409037,-10.46653611,1
406,2.511315383,-4.581960066,7.927282836,-9.879270549,1
407,4.510477859,-4.006798992,9.872361431,-9.499038459,1
408,2.659156057,-2.903136788,10.2573913,-9.346761103,1
409,4.668730811,-5.130701556,8.909167157,-9.232391556,1
410,2.661898142,-4.139437633,5.881652107,-9.498869027,1
411,1.474449788,-3.932642423,8.848769643,-8.167132422,1
412,4.160601599,-5.76026256,8.723648107,-9.773116905,1
413,3.679303129,-3.990068639,9.308668916,-10.6177198,1
414,2.624089927,-4.333863993,10.31410645,-8.265739046,1
415,0.938216476,-4.682911291,8.889564828,-8.684344648,1
416,3.119001842,-3.402664352,9.42828962,-9.172277309,1
417,3.982276616,-2.948321135,7.56176482,-7.802626225,1
418,1.426023221,-6.359002986,8.510360107,-8.199985319,1
419,2.529486226,-3.979319457,7.568688331,-8.70503177,1
420,3.337194852,-5.614460638,9.43800191,-8.921858287,1
421,1.751667436,-3.584623189,8.393167299,-9.613346686,1
422,2.367353856,-4.239630163,7.376011803,-8.230704324,1
423,2.8530731,-4.780462909,9.291799662,-11.55646444,1
424,2.369984073,-3.757339246,5.82401061,-10.57196568,1
425,3.189400726,-4.618392932,10.42351846,-10.49433648,1
426,3.997308652,-5.628458082,10.66347426,-6.87953381,1
427,3.449822868,-2.41687354,10.05038527,-9.25901341,1
428,1.754378582,-4.106118786,8.950962704,-10.04485444,1
429,4.378746991,-3.423075289,9.81561628,-9.114542918,1
430,2.913651411,-4.488670027,10.07845643,-8.307682341,1
431,2.512592051,-5.343622023,8.264720138,-9.749233628,1
432,3.610357088,-3.606386185,9.766541719,-7.882024706,1
433,1.958126465,-4.708671328,8.195934163,-6.449408488,1
434,3.338913029,-1.859761074,10.7471104,-11.05541468,1
435,4.47430672,-4.284960903,8.240374271,-8.217981694,1
436,3.448370231,-4.749926069,7.309574123,-8.486483473,1
437,2.469313443,-4.37159267,9.749184323,-8.42631184,1
438,2.168698597,-3.863159752,11.39517815,-9.244891878,1
439,3.399618168,-3.876826715,8.905119707,-7.711147093,1
440,3.932606163,-4.630986592,8.552927438,-8.758072318,1
441,3.142942321,-3.992948817,9.064535771,-10.37637813,1
442,3.862039599,-4.439465029,8.992457936,-7.909586893,1
443,3.281436671,-3.359758586,10.07023016,-10.28988987,1
444,3.168233906,-3.904697491,9.256049056,-8.951916594,1
445,3.027729818,-3.987215637,7.547744107,-10.42008184,1
446,4.854047612,-3.162314474,8.043953582,-9.062519405,1
447,3.256946132,-3.045701862,9.148064202,-9.558152816,1
448,2.094374883,-3.105187502,6.991862123,-10.00235381,1
449,2.097798034,-3.710998076,7.580880332,-8.180192661,1
450,2.856866481,-3.867629532,8.60771363,-9.707235788,1
451,4.062994573,-4.300744222,7.991138745,-10.03355218,1
452,2.259197452,-3.719196813,8.798144776,-8.585908429,1
453,3.291284133,-4.385177791,8.612270013,-8.374312822,1
454,2.39705905,-4.253439205,9.661645751,-8.145180249,1
455,1.189700161,-3.520894209,8.767419591,-9.184199138,1
456,3.170953378,-2.718211652,8.892805882,-12.34242117,1
457,1.996133335,-4.417313914,8.717455052,-7.772424419,1
458,3.421923079,-3.761351167,9.123840698,-8.971203468,1
459,4.565983606,-2.741977953,10.15183831,-9.612059253,1
460,5.326823531,-4.566304169,8.089066669,-10.0532684,1
461,2.973095884,-2.60411656,9.274249591,-8.566043974,1
462,2.526677928,-5.288638607,7.220469629,-10.46315806,1
463,2.988613632,-5.341662423,10.87857167,-8.547748986,1
464,1.780783192,-3.693068251,9.409140721,-9.893320679,1
465,3.041282866,-2.881694919,10.72764981,-8.066567884,1
466,3.564813855,-4.173251701,8.837272478,-8.323802942,1
467,3.492421233,-1.799398884,8.096094727,-10.25247922,1
